dataset,trial_id,Q1_included,Q1_reason,Q2_included,Q2_reason,Q3_included,Q3_reason,response_status,correctness,timeout
A1,42,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,43,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,44,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,45,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,46,False,质量剔除,False,quality,False,quality,platform_end_proxy,unknown,unknown
A1,47,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,48,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,49,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,50,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,51,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,52,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,53,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,54,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,55,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,56,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,57,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,58,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,59,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,60,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,61,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,62,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,63,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,64,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,65,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,66,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,67,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,68,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,69,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,70,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,71,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,72,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,73,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,74,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,75,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,76,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,77,False,质量剔除,False,quality,False,quality,platform_end_proxy,unknown,unknown
A1,78,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,79,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,80,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,81,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,82,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,83,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A1,84,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,85,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,86,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,87,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,88,False,质量剔除,False,quality,False,quality,platform_end_proxy,unknown,unknown
A1,89,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,90,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,91,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,92,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,93,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,94,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,95,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,96,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,97,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,98,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,99,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
A1,100,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
A2,1,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,2,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,3,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,4,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,5,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,6,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,7,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,8,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,9,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,10,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,11,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,12,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,13,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,14,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,15,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,16,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,17,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,18,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,19,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,20,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,21,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,22,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,23,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,24,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,25,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,26,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,27,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,28,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,29,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,30,False,质量剔除,False,quality,False,quality,explicit_click,unknown,unknown
A2,31,True,折外评价,True,retained,False,quality,explicit_click,unknown,unknown
A2,32,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,33,False,质量剔除,False,quality,False,quality,explicit_click,unknown,unknown
A2,34,True,折外评价,True,retained,False,quality,explicit_click,unknown,unknown
A2,35,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,36,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,37,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,38,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,39,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,40,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,41,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,42,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,43,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,44,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,45,False,质量剔除,False,quality,True,retained,explicit_click,unknown,unknown
A2,46,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,47,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,48,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,49,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,50,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,51,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,52,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,53,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,54,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,55,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,56,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,57,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,58,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,59,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,60,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,61,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,62,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,63,False,质量剔除,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,64,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,65,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,66,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,67,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,68,True,折外评价,True,retained,False,quality,explicit_click,unknown,unknown
A2,69,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,70,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,71,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,72,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,73,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,74,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,75,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,76,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,77,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,78,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,79,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,80,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,81,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,82,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,83,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
A2,84,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,85,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,86,False,质量剔除,False,quality,False,quality,explicit_click,unknown,unknown
A2,87,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,88,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,89,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,90,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,91,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,92,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,93,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,94,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,95,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,96,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,97,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,98,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,99,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
A2,100,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
B1,1,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,2,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,3,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,4,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,5,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,6,True,折外评价,True,retained,False,quality,platform_end_proxy,unknown,unknown
B1,7,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,8,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,9,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,10,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,11,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,12,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,13,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,14,False,质量剔除,False,quality,False,quality,platform_end_proxy,unknown,unknown
B1,15,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,16,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,17,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,18,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,19,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,20,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,21,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,22,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,23,False,质量剔除,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,24,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,25,True,折外评价,True,retained,False,quality,platform_end_proxy,unknown,unknown
B1,26,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,27,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,28,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,29,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,30,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,31,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,32,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,33,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,34,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,35,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,36,False,质量剔除,False,quality,False,quality,platform_end_proxy,unknown,unknown
B1,37,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,38,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,39,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,40,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,41,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,42,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,43,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,44,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,45,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,46,True,折外评价,True,retained,False,quality,platform_end_proxy,unknown,unknown
B1,47,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,48,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,49,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,50,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,51,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,52,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,53,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,54,False,质量剔除,False,quality,False,quality,platform_end_proxy,unknown,unknown
B1,55,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,56,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,57,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,58,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,59,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,60,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,61,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,62,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,63,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,64,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,65,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,66,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,67,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,68,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,69,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,70,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,71,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,72,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,73,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,74,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,75,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,76,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,77,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,78,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,79,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,80,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,81,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,82,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,83,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B1,84,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,85,True,折外评价,True,retained,False,quality,platform_end_proxy,unknown,unknown
B1,86,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,87,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,88,False,质量剔除,False,quality,False,quality,platform_end_proxy,unknown,unknown
B1,89,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,90,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,91,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,92,False,质量剔除,False,quality,False,quality,platform_end_proxy,unknown,unknown
B1,93,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,94,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,95,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,96,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,97,True,折外评价,True,retained,False,quality,platform_end_proxy,unknown,unknown
B1,98,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,99,True,折外评价,True,retained,True,retained,platform_end_proxy,unknown,unknown
B1,100,True,折外评价,False,boundary,False,block_boundary_24s_buffer,platform_end_proxy,unknown,unknown
B2,1,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
B2,2,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,3,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,4,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,5,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,6,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,7,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,8,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,9,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,10,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,11,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,12,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,13,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,14,False,质量剔除,False,quality,False,quality,explicit_click,unknown,unknown
B2,15,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,16,False,质量剔除,False,quality,False,quality,explicit_click,unknown,unknown
B2,17,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,18,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
B2,19,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
B2,20,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
B2,21,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
B2,22,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
B2,23,False,质量剔除,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
B2,24,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,25,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,26,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,27,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,28,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,29,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,30,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,31,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,32,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,33,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,34,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,35,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,36,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,37,True,折外评价,True,retained,True,retained,explicit_click,unknown,unknown
B2,38,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
B2,39,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
B2,40,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
B2,41,True,折外评价,False,boundary,False,block_boundary_24s_buffer,explicit_click,unknown,unknown
