dataset,held_block,stage,population,channel,normalized_source_coefficient,role
A1,3,2,left_preference,F4,-3.100300942745666,outer_training_only
A1,3,2,right_preference,Fz,-0.5269742536809656,outer_training_only
A1,3,2,right_preference,F3,5.425742979527366,outer_training_only
A1,3,2,right_preference,F4,3.844423779464652,outer_training_only
A1,3,2,common,Fz,0.23378139683344482,outer_training_only
A1,3,2,common,F3,0.40804189970580834,outer_training_only
A1,3,2,common,F4,0.5958132871104872,outer_training_only
A1,3,3,left_preference,Fz,1.1682639863334896,outer_training_only
A1,3,3,left_preference,F3,-10.571519224777688,outer_training_only
A1,3,3,left_preference,F4,-6.800661239081931,outer_training_only
A1,3,3,right_preference,Fz,-1.3293439659226594,outer_training_only
A1,3,3,right_preference,F3,10.29024318055785,outer_training_only
A1,3,3,right_preference,F4,7.104015449493802,outer_training_only
A1,3,3,common,Fz,-0.14079256217204617,outer_training_only
A1,3,3,common,F3,-0.24573156342880334,outer_training_only
A1,3,3,common,F4,0.26495397512227636,outer_training_only
A1,4,1,left_preference,Fz,0.014770934089929537,outer_training_only
A1,4,1,left_preference,F3,-0.09047428059922578,outer_training_only
A1,4,1,left_preference,F4,-0.058503013273245204,outer_training_only
A1,4,1,right_preference,Fz,-0.020180709817128016,outer_training_only
A1,4,1,right_preference,F3,0.14740336533854648,outer_training_only
A1,4,1,right_preference,F4,0.10740167328387959,outer_training_only
A1,4,1,common,Fz,-0.0037543110856731385,outer_training_only
A1,4,1,common,F3,0.03949740023809656,outer_training_only
A1,4,1,common,F4,0.033948279484433234,outer_training_only
A1,4,2,left_preference,Fz,0.02089438580699103,outer_training_only
A1,4,2,left_preference,F3,-0.13492682040216494,outer_training_only
A1,4,2,left_preference,F4,-0.0886547320218421,outer_training_only
A1,4,2,right_preference,Fz,-0.01870927538664234,outer_training_only
A1,4,2,right_preference,F3,0.2054153270555102,outer_training_only
A1,4,2,right_preference,F4,0.14737748773781514,outer_training_only
A1,4,2,common,Fz,0.0017506060721033266,outer_training_only
A1,4,2,common,F3,0.056125268105921666,outer_training_only
A1,4,2,common,F4,0.046777714419193796,outer_training_only
A1,4,3,left_preference,Fz,0.02403429464678625,outer_training_only
A1,4,3,left_preference,F3,-0.23127452730039993,outer_training_only
A1,4,3,left_preference,F4,-0.1525392516107572,outer_training_only
A1,4,3,right_preference,Fz,-0.027891441342054037,outer_training_only
A1,4,3,right_preference,F3,0.3153252794759437,outer_training_only
A1,4,3,right_preference,F4,0.20777101576328055,outer_training_only
A1,4,3,common,Fz,-0.0033802481354676416,outer_training_only
A1,4,3,common,F3,0.07430509323604635,outer_training_only
A1,4,3,common,F4,0.04883555673535361,outer_training_only
A2,-1,1,left_preference,Fz,2.0214574196941233,all_data_descriptive
A2,-1,1,left_preference,F3,-0.7278025719586338,all_data_descriptive
A2,-1,1,left_preference,F4,5.996672390034585,all_data_descriptive
A2,-1,1,right_preference,Fz,7.3739008804005275,all_data_descriptive
A2,-1,1,right_preference,F3,12.950161549458253,all_data_descriptive
A2,-1,1,right_preference,F4,8.894536529624167,all_data_descriptive
A2,-1,1,common,Fz,6.0724146095567955,all_data_descriptive
A2,-1,1,common,F3,8.059627512443235,all_data_descriptive
A2,-1,1,common,F4,9.7780064948421,all_data_descriptive
A2,-1,2,left_preference,Fz,-7.466528364443678,all_data_descriptive
A2,-1,2,left_preference,F3,-5.2984552658808965,all_data_descriptive
A2,-1,2,left_preference,F4,-8.726193913309634,all_data_descriptive
A2,-1,2,right_preference,Fz,-8.547624228234614,all_data_descriptive
A2,-1,2,right_preference,F3,-11.349561762180478,all_data_descriptive
A2,-1,2,right_preference,F4,-11.845351957954128,all_data_descriptive
A2,-1,2,common,Fz,-11.441662314904605,all_data_descriptive
A2,-1,2,common,F3,-11.92140450712444,all_data_descriptive
A2,-1,2,common,F4,-14.704971643155869,all_data_descriptive
A2,-1,3,left_preference,Fz,10.261040428591151,all_data_descriptive
A2,-1,3,left_preference,F3,-0.7617671228264566,all_data_descriptive
A2,-1,3,left_preference,F4,14.835140900567916,all_data_descriptive
A2,-1,3,right_preference,Fz,21.00470742411372,all_data_descriptive
A2,-1,3,right_preference,F3,38.69804988819929,all_data_descriptive
A2,-1,3,right_preference,F4,30.16988025796175,all_data_descriptive
A2,-1,3,common,Fz,23.432161643692098,all_data_descriptive
A2,-1,3,common,F3,28.64347598515446,all_data_descriptive
A2,-1,3,common,F4,33.852145476200036,all_data_descriptive
A2,0,1,left_preference,Fz,1.7656127554406613,outer_training_only
A2,0,1,left_preference,F3,1.4894187211626821,outer_training_only
A2,0,1,left_preference,F4,8.849934792889494,outer_training_only
A2,0,1,right_preference,Fz,8.570367020780395,outer_training_only
A2,0,1,right_preference,F3,11.77867551163691,outer_training_only
A2,0,1,right_preference,F4,7.676954444130538,outer_training_only
A2,0,1,common,Fz,6.690674337675695,outer_training_only
A2,0,1,common,F3,8.773907667678282,outer_training_only
A2,0,1,common,F4,10.878761350026151,outer_training_only
A2,0,2,left_preference,Fz,-6.033152217123064,outer_training_only
A2,0,2,left_preference,F3,-3.9875924151546585,outer_training_only
A2,0,2,left_preference,F4,-7.153500416414422,outer_training_only
A2,0,2,right_preference,Fz,-11.637994224556293,outer_training_only
A2,0,2,right_preference,F3,-13.80924020363436,outer_training_only
A2,0,2,right_preference,F4,-15.436325140931292,outer_training_only
A2,0,2,common,Fz,-12.6303567306791,outer_training_only
A2,0,2,common,F3,-12.748534561549489,outer_training_only
A2,0,2,common,F4,-16.153087921705694,outer_training_only
A2,0,3,left_preference,Fz,8.336241845184212,outer_training_only
A2,0,3,left_preference,F3,1.4150947581987228,outer_training_only
A2,0,3,left_preference,F4,17.680349432458957,outer_training_only
A2,0,3,right_preference,Fz,25.507093924442,outer_training_only
A2,0,3,right_preference,F3,38.96663521633617,outer_training_only
A2,0,3,right_preference,F4,30.832141280720204,outer_training_only
A2,0,3,common,Fz,25.35721235897304,outer_training_only
A2,0,3,common,F3,30.491089775373872,outer_training_only
A2,0,3,common,F4,36.48039568784481,outer_training_only
A2,1,1,left_preference,Fz,1.5520673988365015,outer_training_only
A2,1,1,left_preference,F3,-0.8589780789827164,outer_training_only
A2,1,1,left_preference,F4,6.129496245401902,outer_training_only
A2,1,1,right_preference,Fz,8.020800546685148,outer_training_only
A2,1,1,right_preference,F3,12.71327365099518,outer_training_only
A2,1,1,right_preference,F4,9.179876388469324,outer_training_only
A2,1,1,common,Fz,6.2004445621476645,outer_training_only
A2,1,1,common,F3,7.845686767407741,outer_training_only
A2,1,1,common,F4,10.08017586266781,outer_training_only
A2,1,2,left_preference,Fz,-7.3654178986920025,outer_training_only
A2,1,2,left_preference,F3,-5.786901589071452,outer_training_only
A2,1,2,left_preference,F4,-8.996191240187633,outer_training_only
A2,1,2,right_preference,Fz,-8.222307855878064,outer_training_only
A2,1,2,right_preference,F3,-9.479372974944766,outer_training_only
A2,1,2,right_preference,F4,-10.920811194562724,outer_training_only
A2,1,2,common,Fz,-11.133911778273566,outer_training_only
A2,1,2,common,F3,-10.929266039381854,outer_training_only
A2,1,2,common,F4,-14.233671423177146,outer_training_only
A2,1,3,left_preference,Fz,10.139973533902536,outer_training_only
A2,1,3,left_preference,F3,1.1517745789527156,outer_training_only
A2,1,3,left_preference,F4,15.9137945366664,outer_training_only
A2,1,3,right_preference,Fz,21.167682312281475,outer_training_only
A2,1,3,right_preference,F3,34.29391591153411,outer_training_only
A2,1,3,right_preference,F4,29.260807960376194,outer_training_only
A2,1,3,common,Fz,23.477082044327073,outer_training_only
A2,1,3,common,F3,26.774618251045563,outer_training_only
A2,1,3,common,F4,34.00656476147505,outer_training_only
A2,2,1,left_preference,Fz,3.0064325801652116,outer_training_only
A2,2,1,left_preference,F3,-6.262636878213586,outer_training_only
A2,2,1,left_preference,F4,3.632753735008077,outer_training_only
A2,2,1,right_preference,Fz,6.130247309987147,outer_training_only
A2,2,1,right_preference,F3,16.558994878501743,outer_training_only
A2,2,1,right_preference,F4,10.196081919498438,outer_training_only
A2,2,1,common,Fz,5.9103711718403575,outer_training_only
A2,2,1,common,F3,6.713909485552733,outer_training_only
A2,2,1,common,F4,9.020714041187142,outer_training_only
A2,2,2,left_preference,Fz,-6.873520701802055,outer_training_only
A2,2,2,left_preference,F3,-1.4279369751160107,outer_training_only
A2,2,2,left_preference,F4,-6.8161053813805195,outer_training_only
A2,2,2,right_preference,Fz,-9.394709159735628,outer_training_only
A2,2,2,right_preference,F3,-15.74963631579583,outer_training_only
A2,2,2,right_preference,F4,-14.397412433206256,outer_training_only
A2,2,2,common,Fz,-11.624851602856356,outer_training_only
A2,2,2,common,F3,-12.300476852225769,outer_training_only
A2,2,2,common,F4,-15.160777699474735,outer_training_only
A2,2,3,left_preference,Fz,9.61301842612707,outer_training_only
A2,2,3,left_preference,F3,-18.07707256286692,outer_training_only
A2,2,3,left_preference,F4,6.7532633021379045,outer_training_only
A2,2,3,right_preference,Fz,21.719991846935258,outer_training_only
A2,2,3,right_preference,F3,53.67150171801469,outer_training_only
A2,2,3,right_preference,F4,37.159119634738516,outer_training_only
A2,2,3,common,Fz,23.47226351185398,outer_training_only
A2,2,3,common,F3,26.80639164195205,outer_training_only
A2,2,3,common,F4,32.97011321148403,outer_training_only
A2,3,1,left_preference,Fz,1.896150172503884,outer_training_only
A2,3,1,left_preference,F3,-0.9760303600906595,outer_training_only
A2,3,1,left_preference,F4,5.448142436802579,outer_training_only
A2,3,1,right_preference,Fz,7.212851888780174,outer_training_only
A2,3,1,right_preference,F3,14.988260576232012,outer_training_only
A2,3,1,right_preference,F4,9.273440483044006,outer_training_only
A2,3,1,common,Fz,5.8446980139131535,outer_training_only
A2,3,1,common,F3,9.24479847705175,outer_training_only
A2,3,1,common,F4,9.635509632907635,outer_training_only
A2,3,2,left_preference,Fz,-9.04202532137554,outer_training_only
A2,3,2,left_preference,F3,-7.497172005379309,outer_training_only
A2,3,2,left_preference,F4,-10.482370493963568,outer_training_only
A2,3,2,right_preference,Fz,-6.872764697263663,outer_training_only
A2,3,2,right_preference,F3,-10.288522173082626,outer_training_only
A2,3,2,right_preference,F4,-10.074978118683994,outer_training_only
A2,3,2,common,Fz,-11.37164559723846,outer_training_only
A2,3,2,common,F3,-12.739796536543501,outer_training_only
A2,3,2,common,F4,-14.698910540467928,outer_training_only
A2,3,3,left_preference,Fz,12.160730087423463,outer_training_only
A2,3,3,left_preference,F3,0.3307345230531855,outer_training_only
A2,3,3,left_preference,F4,15.95328625611588,outer_training_only
A2,3,3,right_preference,Fz,18.930340943106096,outer_training_only
A2,3,3,right_preference,F3,42.16570608520353,outer_training_only
A2,3,3,right_preference,F4,29.875580179867402,outer_training_only
A2,3,3,common,Fz,23.319738846868706,outer_training_only
A2,3,3,common,F3,32.14545624742189,outer_training_only
A2,3,3,common,F4,34.512275970263524,outer_training_only
A2,4,1,left_preference,Fz,1.7957685832216308,outer_training_only
A2,4,1,left_preference,F3,3.2365117267964574,outer_training_only
A2,4,1,left_preference,F4,5.965963682111072,outer_training_only
A2,4,1,right_preference,Fz,7.07143349761511,outer_training_only
A2,4,1,right_preference,F3,8.886359852794044,outer_training_only
A2,4,1,right_preference,F4,8.227305420717101,outer_training_only
A2,4,1,common,Fz,5.7428271696897735,outer_training_only
A2,4,1,common,F3,8.017023730681007,outer_training_only
A2,4,1,common,F4,9.352798063462426,outer_training_only
A2,4,2,left_preference,Fz,-7.773866893691365,outer_training_only
A2,4,2,left_preference,F3,-7.691879694326708,outer_training_only
A2,4,2,left_preference,F4,-9.886715567088268,outer_training_only
A2,4,2,right_preference,Fz,-6.981923015680372,outer_training_only
A2,4,2,right_preference,F3,-7.887746774377377,outer_training_only
A2,4,2,right_preference,F4,-8.935073125298945,outer_training_only
A2,4,2,common,Fz,-10.538496686155804,outer_training_only
A2,4,2,common,F3,-11.151863900402208,outer_training_only
A2,4,2,common,F4,-13.451719294451312,outer_training_only
A2,4,3,left_preference,Fz,10.549869900326573,outer_training_only
A2,4,3,left_preference,F3,11.855689138228529,outer_training_only
A2,4,3,left_preference,F4,17.571610470307302,outer_training_only
A2,4,3,right_preference,Fz,18.395538496397613,outer_training_only
A2,4,3,right_preference,F3,25.226992357653288,outer_training_only
A2,4,3,right_preference,F4,24.533510976913966,outer_training_only
A2,4,3,common,Fz,21.67719974325831,outer_training_only
A2,4,3,common,F3,28.00564036743756,outer_training_only
A2,4,3,common,F4,31.67395862515341,outer_training_only
B1,-1,1,left_preference,Fz,-0.03640188171427936,all_data_descriptive
B1,-1,1,left_preference,F3,-0.033786729562371956,all_data_descriptive
B1,-1,1,left_preference,F4,0.1200585001070398,all_data_descriptive
B1,-1,1,right_preference,Fz,0.022391844273166542,all_data_descriptive
B1,-1,1,right_preference,F3,0.028499132767461577,all_data_descriptive
B1,-1,1,right_preference,F4,-0.009742804240856892,all_data_descriptive
B1,-1,1,common,Fz,-0.009161883426679895,all_data_descriptive
B1,-1,1,common,F3,-0.0034884354848797156,all_data_descriptive
B1,-1,1,common,F4,0.0722366281903855,all_data_descriptive
B1,-1,2,left_preference,Fz,-0.03827671487045765,all_data_descriptive
B1,-1,2,left_preference,F3,-0.03721412310720654,all_data_descriptive
B1,-1,2,left_preference,F4,0.16282404461922229,all_data_descriptive
B1,-1,2,right_preference,Fz,0.0281138031005601,all_data_descriptive
B1,-1,2,right_preference,F3,0.04075421016505742,all_data_descriptive
B1,-1,2,right_preference,F4,-0.02907238871708521,all_data_descriptive
B1,-1,2,common,Fz,-0.007312165066981727,all_data_descriptive
B1,-1,2,common,F3,0.0023531291291888244,all_data_descriptive
B1,-1,2,common,F4,0.09533377630808675,all_data_descriptive
B1,-1,3,left_preference,Fz,-0.03527066120099984,all_data_descriptive
B1,-1,3,left_preference,F3,-0.025393657557221155,all_data_descriptive
B1,-1,3,left_preference,F4,0.28015077804817423,all_data_descriptive
B1,-1,3,right_preference,Fz,0.030756161529710675,all_data_descriptive
B1,-1,3,right_preference,F3,0.07450719095980157,all_data_descriptive
B1,-1,3,right_preference,F4,-0.05760077752752611,all_data_descriptive
B1,-1,3,common,Fz,-0.0036067449577407876,all_data_descriptive
B1,-1,3,common,F3,0.03776815027501445,all_data_descriptive
B1,-1,3,common,F4,0.17288576737976719,all_data_descriptive
B1,0,1,left_preference,Fz,-0.0488203855658868,outer_training_only
B1,0,1,left_preference,F3,-0.05258274395653247,outer_training_only
B1,0,1,left_preference,F4,0.1751492634025628,outer_training_only
B1,0,1,right_preference,Fz,0.0020659927957940734,outer_training_only
B1,0,1,right_preference,F3,0.09917205872664059,outer_training_only
B1,0,1,right_preference,F4,0.025629813933240857,outer_training_only
B1,0,1,common,Fz,-0.03097846331836389,outer_training_only
B1,0,1,common,F3,0.03080617564498147,outer_training_only
B1,0,1,common,F4,0.13302278383107638,outer_training_only
B1,0,2,left_preference,Fz,-0.04730589310488244,outer_training_only
B1,0,2,left_preference,F3,-0.0654022402288172,outer_training_only
B1,0,2,left_preference,F4,0.27440196585738696,outer_training_only
B1,0,2,right_preference,Fz,-0.0071506140739821126,outer_training_only
B1,0,2,right_preference,F3,0.15870911024106285,outer_training_only
B1,0,2,right_preference,F4,0.021860499939597773,outer_training_only
B1,0,2,common,Fz,-0.03960000343602328,outer_training_only
B1,0,2,common,F3,0.06725273933267525,outer_training_only
B1,0,2,common,F4,0.21444125631879862,outer_training_only
B1,0,3,left_preference,Fz,-0.028787294067074858,outer_training_only
B1,0,3,left_preference,F3,-0.042311121521496124,outer_training_only
B1,0,3,left_preference,F4,0.4219817357676039,outer_training_only
B1,0,3,right_preference,Fz,-0.007823286521037733,outer_training_only
B1,0,3,right_preference,F3,0.251477595401036,outer_training_only
B1,0,3,right_preference,F4,0.05017270429995166,outer_training_only
B1,0,3,common,Fz,-0.029058899764703414,outer_training_only
B1,0,3,common,F3,0.16338843317540858,outer_training_only
B1,0,3,common,F4,0.3696157282801904,outer_training_only
B1,1,1,left_preference,Fz,-0.6345621026983638,outer_training_only
B1,1,1,left_preference,F3,-0.3867974267500642,outer_training_only
B1,1,1,left_preference,F4,1.163117826168195,outer_training_only
B1,1,1,right_preference,Fz,1.0946843841002112,outer_training_only
B1,1,1,right_preference,F3,-0.21100909870544432,outer_training_only
B1,1,1,right_preference,F4,-0.7131825827573139,outer_training_only
B1,1,1,common,Fz,0.3055131490333588,outer_training_only
B1,1,1,common,F3,-0.3982731267901376,outer_training_only
B1,1,1,common,F4,0.2976616983683687,outer_training_only
B1,1,2,left_preference,Fz,-0.9406386966245096,outer_training_only
B1,1,2,left_preference,F3,-0.13551818281511796,outer_training_only
B1,1,2,left_preference,F4,2.089047145775909,outer_training_only
B1,1,2,right_preference,Fz,1.5819355393793828,outer_training_only
B1,1,2,right_preference,F3,-0.24104315751237831,outer_training_only
B1,1,2,right_preference,F4,-1.1702528311417872,outer_training_only
B1,1,2,common,Fz,0.46451405367346355,outer_training_only
B1,1,2,common,F3,-0.2780275084379826,outer_training_only
B1,1,2,common,F4,0.6613185467031802,outer_training_only
B1,1,3,left_preference,Fz,-1.4585086738458697,outer_training_only
B1,1,3,left_preference,F3,0.684893983007798,outer_training_only
B1,1,3,left_preference,F4,3.8457308487401667,outer_training_only
B1,1,3,right_preference,Fz,2.46758481722274,outer_training_only
B1,1,3,right_preference,F3,-0.14223482731897702,outer_training_only
B1,1,3,right_preference,F4,-1.4712195728518707,outer_training_only
B1,1,3,common,Fz,0.7894921265550571,outer_training_only
B1,1,3,common,F3,0.41801352452722346,outer_training_only
B1,1,3,common,F4,1.8530181501173497,outer_training_only
B1,2,1,left_preference,Fz,-0.004131159668310908,outer_training_only
B1,2,1,left_preference,F3,-0.033188987633848616,outer_training_only
B1,2,1,left_preference,F4,0.036736747092736464,outer_training_only
B1,2,1,right_preference,Fz,-0.03564209581432062,outer_training_only
B1,2,1,right_preference,F3,0.04424990200550114,outer_training_only
B1,2,1,right_preference,F4,0.05889075293915422,outer_training_only
B1,2,1,common,Fz,-0.02605786308087185,outer_training_only
B1,2,1,common,F3,0.007239147732077138,outer_training_only
B1,2,1,common,F4,0.06264226167679686,outer_training_only
B1,2,2,left_preference,Fz,0.01104168084289843,outer_training_only
B1,2,2,left_preference,F3,-0.04138172093825178,outer_training_only
B1,2,2,left_preference,F4,0.04438605860224934,outer_training_only
B1,2,2,right_preference,Fz,-0.04641719612885241,outer_training_only
B1,2,2,right_preference,F3,0.0597977531622773,outer_training_only
B1,2,2,right_preference,F4,0.06903783663218349,outer_training_only
B1,2,2,common,Fz,-0.025374593643372884,outer_training_only
B1,2,2,common,F3,0.013068520614296876,outer_training_only
B1,2,2,common,F4,0.08091288309659074,outer_training_only
B1,2,3,left_preference,Fz,0.056605554166289214,outer_training_only
B1,2,3,left_preference,F3,-0.052684428640968076,outer_training_only
B1,2,3,left_preference,F4,0.07332272659803539,outer_training_only
B1,2,3,right_preference,Fz,-0.08496808289224868,outer_training_only
B1,2,3,right_preference,F3,0.09439045596890815,outer_training_only
B1,2,3,right_preference,F4,0.09534633758589321,outer_training_only
B1,2,3,common,Fz,-0.022259633746632413,outer_training_only
B1,2,3,common,F3,0.03228496601044794,outer_training_only
B1,2,3,common,F4,0.13119593599552107,outer_training_only
B1,3,1,left_preference,Fz,0.0008153031265865097,outer_training_only
B1,3,1,left_preference,F3,-0.017737896774604238,outer_training_only
B1,3,1,left_preference,F4,0.1460501731974104,outer_training_only
B1,3,1,right_preference,Fz,0.001266991678509723,outer_training_only
B1,3,1,right_preference,F3,0.017351876373124586,outer_training_only
B1,3,1,right_preference,F4,-0.04788527563368412,outer_training_only
B1,3,1,common,Fz,0.0013761801225371365,outer_training_only
B1,3,1,common,F3,-0.0002604200064769804,outer_training_only
B1,3,1,common,F4,0.06431471826568402,outer_training_only
B1,3,2,left_preference,Fz,0.011853919993704515,outer_training_only
B1,3,2,left_preference,F3,-0.01719033368887457,outer_training_only
B1,3,2,left_preference,F4,0.19980427189366565,outer_training_only
B1,3,2,right_preference,Fz,-0.0020525403293852047,outer_training_only
B1,3,2,right_preference,F3,0.025379469841629664,outer_training_only
B1,3,2,right_preference,F4,-0.08280535494922335,outer_training_only
B1,3,2,common,Fz,0.0069293283627865415,outer_training_only
B1,3,2,common,F3,0.005666877738308508,outer_training_only
B1,3,2,common,F4,0.08341043029562016,outer_training_only
